objid,fieldid,fieldmjd,astrangekm,astrangeratekms,astradeg,astraratedegday,astdecdeg,astdecratedegday,astsunj2000xkm,astsunj2000ykm,astsunj2000zkm,astsunj2000vxkms,astsunj2000vykms,astsunj2000vzkms,obssunj2000xkm,obssunj2000ykm,obssunj2000zkm,obssunj2000vxkms,obssunj2000vykms,obssunj2000vzkms,sunastobsdeg,v,vh0,fivesigmadepth,filter,maginfiltertrue,astrometricsigmamas,photometricsigmamag,snr,astrometricsigmadeg,maginfilter,dmagdetect,dmagvignet,astratruedeg,astdectruedeg,detector,obscode,na
S100krCJa,223228.0,60601.15055366608,414969487.1938762,18.30873814707089,344.23893502196705,-0.07932776368963977,-11.604587800466199,-0.026279500832485397,526380841.46313524,-52809087.31878709,-58508227.47589428,1.9666261087912413,14.05206122264549,4.85497064558098,135176453.1265425,57603470.560905784,24965627.90170347,-13.09790666738638,25.07123203671425,10.69547900606298,11.231290380379123,22.50697215449073,5.666972154490729,22.42690179251599,y,22.203972154490728,53.890679802359124,0.1642664453365988,6.12220741628325,1.4969633278433091e-05,21.904266489889178,0.008144666741246547,0.034778521328689,344.2389430261712,-11.604601949354333,118.0,I11,NA
S10001w1a,223229.0,60601.15100067656,414767957.8391108,18.21121242607873,342.6645667090614,-0.07824348536355086,-14.249309542411018,-0.014583325392903934,518922626.5154894,-62179755.183440804,-77125621.75368275,1.5696710511735514,13.836673377063983,5.028932585866739,135175947.23732373,57604438.849358566,24966040.978805,-13.099229311993692,25.070939711083348,10.695443426617597,11.841248794939233,15.493053379166376,5.673053379166376,22.41992307034673,y,15.190053379166375,10.00725064131048,0.001259205638888899,861.7390917938503,2.7797918448084664e-06,15.190071806629192,0.007050521867364873,0.023686231669684178,342.66456451893623,-14.249310105943424,111.0,I11,NA
S1000fama,223229.0,60601.15100067656,377977034.944525,18.00531645057143,342.80392317403573,-0.08144120349543031,-13.066454817337917,0.01396946276583759,486907973.0401685,-51248412.31925534,-60487401.50564504,2.095566313081722,14.028625613570227,7.664244360036308,135175947.23732373,57604438.849358566,24966040.978805,-13.099229311993692,25.070939711083348,10.695443426617597,12.549790258418765,20.38918064770683,5.349180647706831,22.41992307034673,y,19.98318064770683,12.594583736947307,0.02503718890446613,42.866862063522035,3.4984954824853634e-06,19.994855851557503,0.007666642948490032,0.01183666364768658,342.803924984049,-13.066454887114633,151.0,I11,NA
S10015xUa,223229.0,60601.15100067656,371370141.4100877,19.830868374514736,343.3026240532572,-0.08152996775164652,-13.53193661251094,0.011996969165178561,481012825.85823077,-46134365.23475705,-61929922.11343872,3.86162008327337,13.776009913836237,6.93074201020091,135175947.23732373,57604438.849358566,24966040.978805,-13.099229311993692,25.070939711083348,10.695443426617597,12.664865433846563,18.95792270811572,5.287922708115721,22.41992307034673,y,18.65492270811572,10.365644217262671,0.008989713601778249,120.27608426957545,2.8793456159062974e-06,18.663651655320017,0.00759430463826742,0.05478536827409776,343.3026198364595,-13.531944990601927,159.0,I11,NA
S1000CnBa,223230.0,60601.15145026646,373429788.23883003,17.79605409439632,340.0850901956004,-0.07116922280024644,-16.112299608493903,-0.02494304213721361,472482671.9379802,-64597395.192015454,-78668111.08281767,0.7262832434701523,14.576387899895789,3.949197423576911,135175438.3776141,57605412.7133779,24966456.43797173,-13.10055900398932,25.07064253189748,10.695407640009211,13.610909575370153,19.287256549220984,5.317256549220984,22.469414224584767,y,18.881256549220986,10.437158244053114,0.010209147779123028,105.85013107179599,2.899210623348087e-06,18.872350832187298,0.006741234773466657,-0.0,340.0850897857675,-16.112298636974508,94.0,I11,NA
S1002Cc0a,223231.0,60601.15189974042,428666241.37705946,19.308159014133217,337.0835574273226,-0.05183839196842052,-17.93913499697917,-0.028855703834282858,510813064.7517492,-101196394.29274023,-107065063.33474648,1.4460505450187053,14.284531517458932,2.371262137851003,135174929.59741148,57606386.31484351,24966871.788690135,-13.101887758657506,25.07034225623663,10.695371860726397,12.960927885973303,20.630036648507858,5.800036648507858,22.48410123021641,y,20.327036648507857,13.686166005987728,0.03157329144121698,33.89022879547122,3.8017127794410355e-06,20.32111501227125,0.00415797722941961,0.07244072254538532,337.0835617853321,-17.93912573269171,75.0,I11,NA
S1000uuCa,223232.0,60601.152348468786,417513213.62736225,22.002681640369314,335.6850519788715,-0.029078589257835588,-17.285772534411954,-0.036725406151370876,498468071.32721823,-106540122.28281556,-99091685.31779706,4.239512109473845,14.665606878874451,1.200068924743912,135174421.60976228,57607358.28950921,24967286.448997594,-13.103213706977495,25.070039315637402,10.69533613888497,13.43153576784809,20.918852343241653,5.708852343241652,22.427375568898753,y,20.512852343241654,15.517573302511323,0.038720542066311314,27.543287061450627,4.310437028475367e-06,20.51212513803482,0.0025384042927559776,0.13912939335317293,335.68505345859614,-17.285774947094257,170.0,I11,NA
S10003xDa,223233.0,60601.152796848335,411479773.50873524,17.779058521119783,336.5167532687331,-0.10630326362311637,-15.40679810235173,0.07136030945642269,499011273.1883498,-100466188.42063756,-84350379.65380225,0.6668988770663082,9.799355802307494,11.691022173464612,135173913.96613732,57608329.49590807,24967700.785197347,-13.104538013533018,25.069733455771814,10.69530044291483,13.245935476050581,18.86664450619878,5.656644506198781,22.424198615076666,y,18.56364450619878,10.316960291016606,0.008403748177333794,128.69730605391436,2.8658223030601684e-06,18.564761062121764,0.018419978811210984,0.013531178412491754,336.5167516781259,-15.406803370326076,129.0,I11,NA
S10005EVa,223233.0,60601.152796848335,411131562.7537432,18.95983437381543,335.9342378163566,-0.04508533255663661,-15.024834619907294,0.0004754697769835836,497735688.23695654,-104313468.6374423,-81613108.24904118,2.150222656277955,14.2972128042,5.818702538563801,135173913.96613732,57608329.49590807,24967700.785197347,-13.104538013533018,25.069733455771814,10.69530044291483,13.332141741428638,17.194109675927503,5.654109675927504,22.424198615076666,y,16.788109675927505,10.036064115286765,0.0028222945426600557,384.20003740207414,2.787795587579657e-06,16.788939159009765,0.002274741614650901,0.08974195484790234,335.93423629311286,-15.024835310770188,120.0,I11,NA
S1000dLea,223233.0,60601.152796848335,353250532.29478914,18.077178204337073,335.8381930450093,-0.0426712095686435,-15.573590061814992,-0.043003071990371254,445644385.0832327,-81673959.14081049,-69871536.46577261,0.8312019024107556,15.60408282637447,2.8862095988434477,135173913.96613732,57608329.49590807,24967700.785197347,-13.104538013533018,25.069733455771814,10.69530044291483,15.079794178020604,17.493806395393527,5.133806395393528,22.424198615076666,y,17.190806395393526,10.05638639754956,0.0035296404560364006,307.1055973677718,2.793440665985989e-06,17.183857009861455,0.004236939050358741,0.031175304500722374,335.83819182759885,-15.57359055649255,79.0,I11,NA
S1000mQRa,223233.0,60601.152796848335,408035129.7455769,21.150042005034766,335.83331074550676,-0.011219654447671902,-15.057137576296144,-0.018282395337726517,494666963.92471945,-103703088.70710482,-81032563.50428836,4.806952338190401,16.05496998767002,3.745963397722114,135173913.96613732,57608329.49590807,24967700.785197347,-13.104538013533018,25.069733455771814,10.69530044291483,13.43496655388763,19.667970564553652,5.627970564553653,22.424198615076666,y,19.36497056455365,11.010045065537383,0.015207641240780133,70.89528992817007,3.058345851538162e-06,19.39031217255207,0.0005427090127585772,0.09716703370218521,335.83331290950616,-15.057138495699903,120.0,I11,NA
S1000uuCa,223233.0,60601.152796848335,417514066.0298223,22.003685975965304,335.6850372205216,-0.029068293364222304,-17.285801809710634,-0.03672106536308983,498468235.5533376,-106539554.17941996,-99091638.83051705,4.239493809356402,14.665610792498315,1.2000725632222642,135173913.96613732,57608329.49590807,24967700.785197347,-13.104538013533018,25.069733455771814,10.69530044291483,13.431613881670275,20.918859741652565,5.708859741652564,22.424198615076666,y,20.512859741652566,15.536042044316726,0.038824995468107984,27.467856400550016,4.315567234532424e-06,20.508204915496464,0.0025409668493534404,0.03712299290278156,335.6850404226698,-17.285791413027738,5.0,I11,NA
S1002Cc0a,223233.0,60601.152796848335,428667738.03352654,19.310202881925,337.08351543650446,-0.05181880098028871,-17.93916159378931,-0.02884690952068909,510813176.8266884,-101195287.16840732,-107064879.5495499,1.4460155806165256,14.284538448583024,2.3712694675447596,135173913.96613732,57608329.49590807,24967700.785197347,-13.104538013533018,25.069733455771814,10.69530044291483,12.961090576663311,20.630049626991735,5.8000496269917345,22.424198615076666,y,20.327049626991734,14.241654728128884,0.03319825737061995,32.2071623815568,3.956015202258023e-06,20.34018465061654,0.003907435461576115,0.04650555045869472,337.083515289497,-17.939151615415277,26.0,I11,NA
S10003xDa,223234.0,60601.15324478893,411480461.6149918,17.78009111365554,336.51670427073674,-0.10629281643289137,-15.406775564953287,0.07136396708727141,499011298.9968215,-100465809.1877564,-84349927.2138807,0.6668802205011082,9.799359560094594,11.691025328459158,135173406.76787,57609299.74038595,24968114.71471498,-13.105860407104402,25.069424747640277,10.695264779913888,13.24602298776737,18.866650806839562,5.656650806839561,22.407122112069896,y,18.56365080683956,10.322977321644112,0.008505039264292951,127.15864130461767,2.867493700456698e-06,18.544310316610694,0.018508077157615033,0.09823671122338444,336.5167040629211,-15.406771404329364,110.0,I11,NA
S10005EVa,223234.0,60601.15324478893,411132296.55817556,18.96085212783014,335.9342203463229,-0.04507498559532135,-15.02483284778334,0.00047923998258868507,497735771.44938743,-104312915.34070972,-81612883.06742337,2.150203948830842,14.297216726921748,5.8187056068848095,135173406.76787,57609299.74038595,24968114.71471498,-13.105860407104402,25.069424747640277,10.695264779913888,13.332225621376141,17.19411631501444,5.654116315014441,22.407122112069896,y,16.78811631501444,10.036557221818004,0.0028485711022930176,380.65138733380013,2.7879325616161126e-06,16.786965119623424,0.0022849702769249343,0.01202374231165068,335.93421609988036,-15.024835096943217,101.0,I11,NA
